title,Sum of view_count,Sum of like_count,Sum of comment_count
คนโดนปาแน่ใจไหมว่าคนที่ปาคือคนนี้ 💦#thesnack #ปอนด์ #จีโน่ #กาย #เล่นกับเพื่อน #challenge,5565772,177381,316
ข้ามเวลา Ost.พรหมลิขิต | Violette Wautier | Official MV,197673,8107,322
กูไม่ใช่ผัวมึงเลย จะงอนอะไรนักหนา! | EP.144 เจ๊คิ้มกินรอบวง l ลิลลี่ & นนท์ @ร้าน The Rabbit's Grove,354723,5712,162
การบ่ตอบคือคำตอบที่ชัดเจน - เวียง นฤมล【MUSIC VIDEO】,292061,5442,332
ก่อนจะลุย เวลต้องตัน เอาผลช้างมั้ยลูก!? | Bloxfruit กับลูกชาย EP74,221789,24563,842
กรีดตา แบบสาวจีน,2607534,97304,298
ไฮไลต์เต็ม (ACL-3) บุรีรัมย์ ยูไนเต็ด 0-2 เมลเบิร์น ซิตี้ เอฟซี,68902,954,277
โดนเจ๊จูนหลอก,450194,26981,92
โก้ เดินหน้ากินไม่หยุด!! ครั้งนี้ขอจัดหนัก ร้านเจี๊ยบ เชิญยิ้ม!! สร้างสถิติใหม่!!,530123,15818,541
แมนเชสเตอร์ ยูไนเต็ด 1-0 เอฟซี โคเปนเฮเก้น | ไฮไลต์ ยูฟ่า แชมเปี้ยนส์ ลีก 23/24,1384786,21849,1467
เฮที่มันแย่งแฟนพ่อ!!! | Storyteller,357316,16117,857
เวรกรรมผู้ใด๋น้อ - ยุ่งยิ่ง กนกนันทน์ Feat.Koru ICB x เจ้าป่า รักษ์วนา【OFFICIAL MV】,3419417,21626,1040
เวรกรรมผู้ใด๋น้อ - ยุ่งยิ่ง กนกนันทน์ Feat. เจ้าป่า รักษ์วนา【OFFICIAL MV】,88681,1275,147
เตะบอลสุ่ม YouTuber เตะโดนปุ๊บ ซวยปั๊บ EP.2/2,291028,5496,147
เข้าไปเล่นในเรือนจำ พร้อมกันครั้งแรก | iJazzKhunJang,569284,15085,348
වෙනම ලෝකෙකට යනවා වගේ 😫🌎🥺❤ #shorts,466548,27286,307
කාවින්ද්‍යා අදිකාරීගේ විවාහයේ කවුරුත් දැක්කේ නැති හොදම ටික | Kavindya Adikari wedding | gossip,371415,2111,236
ඔය දිස්නේ වදින ලස්සන පොඩි ඇස් දෙක මාගේ…👀| Copy Chat #shorts,216153,7520,98
ඒකි ළිදට ගියේ නෑ | Siril Ayya | Live Performance - Britishway Popular Awards 2023,349706,19911,1253
ඒ දුක කොහොම දරාගන්නද ජැක්සන් 😢 #shorts,1185805,30964,666
മക്കൾ തെറ്റ് ചെയ്താൽ ഉപ്പമാർ ഇതുപോലെ സ്റ്റേഷനിൽ കയറേണ്ടി വരും സൂക്ഷിച്ചാൽ ദുഃഖിക്കേണ്ട..,82734,1693,322
ഏട്ടന്റെയും പൊന്നൂസിന്റെയും കാര്യത്തിൽ എനിക്ക് പറയാനുള്ളത്,305522,9909,579
അസിസ് നെടുമങ്ങാടിനെതിരെ പൊട്ടിത്തെറിച്ച് അശോകൻ | Ashokan | Noor Talks | Masterpiece Web Series,74126,932,130
மறுபடியும் முதல்ல இருந்தா😂😜 #shorts #funny #comedy | With Love Nagaraj Sangeetha,5992182,418375,255
மதுபோதையில் போலீசாரிடம் இளம்பெண் தகராறு | N18S,6871585,180137,1700
பூஜைக்கு வாங்கின பொரி இருக்கா !! அப்போ ஈசியா இப்படி செய்து பாருங்க/Instant Breakfast Dinner Recipe,169836,727,16
রাকিব কেক নিয়ে আসলো ৭ মিলিয়ন এর জন্য 😭 | Please Guys Do Subscribe 😭 #shorts,13063472,1136767,4227
"মাথায় আঘাত পেয়েও রিয়াদের লড়াকু সেঞ্চুরি, চিরচেনা উদযাপনের সাথে সেজদাহ; সাকিবরা দিলেন বাহবা | Riyad",545797,17060,698
ব্রাহ্মণবাড়িয়ায় মা ও দুই সন্তান হ'ত্যার মূলহোতা গ্রে'প্তা'র | Brahmanbaria | NTV News,1173762,8953,463
